股票代码,股票名称,热点标签,日线评分,风险扣分,候选评分,昨收,今日开盘,上午最高,上午最低,午盘价,今日最高,今日最低,下午最高,下午最低,收盘价,今日成交额,尾盘成交额,尾盘放量倍数,今日涨跌幅,今日振幅,收盘位置,从低点修复幅度,从高点回落幅度,下午修复强度,是否突破上午高点,是否收在全天高位区,分时结构标签,尾盘抢筹标签,尾盘评分,最终评分,隔夜建议等级,隔夜建议说明
002213,大为股份,未归类,100.0,0.0,95.0,40.69,40.07,40.9,38.68,40.5,42.0,38.68,42.0,40.5,41.95,1408639928.9,207962055.0,1.21,3.1,8.16,0.9849,8.45,0.12,3.58,是,是,急跌修复成功型,尾盘抢筹,100.0,98.0,A,隔夜优先。结构【急跌修复成功型】，尾盘抢筹，最终评分98.00。
002378,章源钨业,有色金属,105.0,0.0,100.0,34.88,37.5,39.62,37.2,38.85,40.8,37.2,40.8,38.78,40.52,5992333764.91,512489508.77,0.7,16.17,10.32,0.9222,8.92,0.69,4.49,是,是,冲高回落再转强型,尾盘资金回流,90.0,94.0,A,隔夜优先。结构【冲高回落再转强型】，尾盘资金回流，最终评分94.00。
601168,西部矿业,未归类,100.0,0.0,95.0,31.48,31.3,32.61,30.8,32.32,33.45,30.8,33.45,32.15,33.37,2950663900.18,351886446.6,0.98,6.0,8.42,0.9698,8.34,0.24,3.79,是,是,急跌修复成功型,尾盘资金回流,90.0,92.0,A,隔夜优先。结构【急跌修复成功型】，尾盘资金回流，最终评分92.00。
000426,兴业银锡,有色金属,95.0,0.0,95.0,40.61,39.25,42.2,38.5,42.13,43.05,38.5,43.05,41.9,43.01,4660682380.49,465731928.55,0.82,5.91,11.2,0.9912,11.71,0.09,2.65,是,是,急跌修复成功型,尾盘资金回流,90.0,92.0,A,隔夜优先。结构【急跌修复成功型】，尾盘资金回流，最终评分92.00。
688005,容百科技,软件,90.0,0.0,90.0,33.79,32.45,34.4,31.65,34.29,34.72,31.65,34.72,33.75,34.66,1229352854.07,140685881.93,0.94,2.57,9.09,0.9805,9.51,0.17,2.7,是,是,急跌修复成功型,尾盘资金回流,90.0,90.0,A,隔夜优先。结构【急跌修复成功型】，尾盘资金回流，最终评分90.00。
300450,先导智能,AI,95.0,0.0,95.0,48.13,46.0,47.27,45.07,47.19,47.4,45.07,47.4,46.62,47.35,3860685485.01,457648415.99,0.97,-1.62,4.84,0.9785,5.06,0.11,1.57,是,是,急跌修复成功型,尾盘资金回流,80.0,86.0,A,隔夜优先。结构【急跌修复成功型】，尾盘资金回流，最终评分86.00。
002335,科华数据,AI；算力,90.0,0.0,90.0,38.93,39.45,40.38,38.8,39.17,40.38,38.8,40.1,39.0,40.07,1398568485.12,204468608.64,1.2,2.93,4.06,0.8038,3.27,0.77,2.74,否,是,冲高回落再转强型,尾盘抢筹,80.0,84.0,A,隔夜优先。结构【冲高回落再转强型】，尾盘抢筹，最终评分84.00。
688126,沪硅产业,未归类,105.0,0.0,95.0,32.4,33.33,34.2,32.15,32.79,34.28,32.15,34.28,32.55,33.9,8435001575.36,724056942.51,0.7,4.63,6.57,0.8216,5.44,1.11,4.15,否,是,冲高回落再转强型,尾盘普通,55.0,71.0,B,可观察。结构【冲高回落再转强型】，最终评分71.00，只低吸不追高。
000960,锡业股份,有色金属,95.0,0.0,95.0,41.43,43.84,45.91,43.47,45.91,45.91,43.47,45.91,45.91,45.91,4776034293.01,36672908.0,0.06,10.81,5.89,1.0,5.61,0.0,0.0,否,是,强势横盘型,尾盘普通,55.0,71.0,B,可观察。结构【强势横盘型】，最终评分71.00，只低吸不追高。
688106,金宏气体,未归类,100.0,0.0,95.0,31.17,31.0,33.72,30.97,32.66,33.72,30.97,32.95,31.78,32.81,1930260570.98,166531998.23,0.71,5.26,8.82,0.6691,5.94,2.7,3.24,否,否,普通震荡型,尾盘普通,45.0,65.0,B,可观察。结构【普通震荡型】，最终评分65.00，只低吸不追高。
301171,易点天下,未归类,100.0,0.0,95.0,37.09,37.38,39.66,37.2,38.58,39.66,37.2,39.28,38.03,39.1,2320225807.32,312335253.33,1.1,5.42,6.63,0.7724,5.11,1.41,2.81,否,是,冲高回落再转强型,尾盘普通,45.0,65.0,B,可观察。结构【冲高回落再转强型】，最终评分65.00，只低吸不追高。
688006,杭可科技,软件,90.0,0.0,90.0,37.78,37.18,37.75,36.13,37.27,37.75,36.13,37.65,36.48,37.61,867522354.13,104309978.01,0.99,-0.45,4.29,0.9136,4.1,0.37,3.1,否,是,急跌修复成功型,尾盘普通,45.0,63.0,C,只观察。结构【急跌修复成功型】，最终评分63.00，不主动隔夜。
600391,航发科技,软件,90.0,0.0,90.0,34.53,34.69,36.3,34.23,34.38,36.3,34.23,35.4,34.24,35.3,438924806.63,70013216.0,1.31,2.23,5.99,0.5169,3.13,2.75,3.1,否,否,高波动震荡型,尾盘普通,45.0,63.0,C,只观察。结构【高波动震荡型】，最终评分63.00，不主动隔夜。
