scorecard_id,model_version,metric_name,segment_type,segment_value,sample_count,score,created_at
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_all_all,v2.6-direction-001,direction_hit_rate,all,all,18,0.833333,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_range_coverage_rate_all_all,v2.9-prediction-review-001,range_coverage_rate,all,all,18,0.445308,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_range_overlap_rate_all_all,v2.9-prediction-review-001,range_overlap_rate,all,all,18,0.358152,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_buy_range_executable_rate_all_all,v2.9-prediction-review-001,buy_range_executable_rate,all,all,18,0.777778,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_brier_all_all,v2.7-profit-probability-001,hit_1pct_brier,all,all,18,0.19213,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_2pct_brier_all_all,v2.7-profit-probability-001,hit_2pct_brier,all,all,18,0.324074,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_stop_2pct_brier_all_all,v2.7-profit-probability-001,stop_2pct_brier,all,all,18,0.175926,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.8-calibration-explain-001_calibrated_hit_1pct_brier_all_all,v2.8-calibration-explain-001,calibrated_hit_1pct_brier,all,all,18,0.17284,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.8-calibration-explain-001_calibrated_hit_2pct_brier_all_all,v2.8-calibration-explain-001,calibrated_hit_2pct_brier,all,all,18,0.246914,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.8-calibration-explain-001_calibrated_stop_2pct_brier_all_all,v2.8-calibration-explain-001,calibrated_stop_2pct_brier,all,all,18,0.17284,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_market_情绪冰点,v2.6-direction-001,direction_hit_rate,market,情绪冰点,18,0.833333,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_market_情绪冰点,v2.7-profit-probability-001,hit_1pct_actual_rate,market,情绪冰点,18,0.777778,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_未标记,v2.6-direction-001,direction_hit_rate,sector,未标记,5,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_未标记,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,未标记,5,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_IT服务Ⅲ,v2.6-direction-001,direction_hit_rate,sector,IT服务Ⅲ,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_IT服务Ⅲ,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,IT服务Ⅲ,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_保险Ⅱ,v2.6-direction-001,direction_hit_rate,sector,保险Ⅱ,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_保险Ⅱ,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,保险Ⅱ,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_养殖业,v2.6-direction-001,direction_hit_rate,sector,养殖业,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_养殖业,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,养殖业,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_农化制品,v2.6-direction-001,direction_hit_rate,sector,农化制品,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_农化制品,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,农化制品,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_氟化工,v2.6-direction-001,direction_hit_rate,sector,氟化工,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_氟化工,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,氟化工,1,0.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_软件开发,v2.6-direction-001,direction_hit_rate,sector,软件开发,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_软件开发,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,软件开发,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_通信,v2.6-direction-001,direction_hit_rate,sector,通信,4,0.5,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_通信,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,通信,4,0.5,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_铜,v2.6-direction-001,direction_hit_rate,sector,铜,1,0.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_铜,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,铜,1,0.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_食品饮料,v2.6-direction-001,direction_hit_rate,sector,食品饮料,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_食品饮料,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,食品饮料,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.6-direction-001_direction_hit_rate_sector_饲料,v2.6-direction-001,direction_hit_rate,sector,饲料,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_sector_饲料,v2.7-profit-probability-001,hit_1pct_actual_rate,sector,饲料,1,1.0,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_1pct_actual_rate_by_bucket_probability_bucket_80-100%,v2.7-profit-probability-001,hit_1pct_actual_rate_by_bucket,probability_bucket,80-100%,18,0.777778,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_hit_2pct_actual_rate_by_bucket_probability_bucket_80-100%,v2.7-profit-probability-001,hit_2pct_actual_rate_by_bucket,probability_bucket,80-100%,18,0.555556,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.7-profit-probability-001_stop_2pct_actual_rate_by_bucket_probability_bucket_0-20%,v2.7-profit-probability-001,stop_2pct_actual_rate_by_bucket,probability_bucket,0-20%,18,0.222222,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_intraday_path_distribution_path_冲高回落再转强型,v2.9-prediction-review-001,intraday_path_distribution,path,冲高回落再转强型,1,0.055556,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_intraday_path_distribution_path_固定持仓,v2.9-prediction-review-001,intraday_path_distribution,path,固定持仓,5,0.277778,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_intraday_path_distribution_path_弱势收盘型,v2.9-prediction-review-001,intraday_path_distribution,path,弱势收盘型,3,0.166667,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_intraday_path_distribution_path_强势横盘型,v2.9-prediction-review-001,intraday_path_distribution,path,强势横盘型,1,0.055556,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_intraday_path_distribution_path_急跌修复失败型,v2.9-prediction-review-001,intraday_path_distribution,path,急跌修复失败型,5,0.277778,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_intraday_path_distribution_path_普通震荡型,v2.9-prediction-review-001,intraday_path_distribution,path,普通震荡型,2,0.111111,2026-07-19 23:23:54
v2.9-prediction-review-001_v2.9-prediction-review-001_intraday_path_distribution_path_高波动震荡型,v2.9-prediction-review-001,intraday_path_distribution,path,高波动震荡型,1,0.055556,2026-07-19 23:23:54
